,category_name,count_sales,actual_delivery_date,delay_delivery_date
0,bed_bath_table,11115,12.7505,-11.6562
1,health_beauty,9670,11.915,-11.9701
2,sports_leisure,8641,12.0815,-12.0101
3,furniture_decor,8334,12.8352,-12.3995
4,computers_accessories,7827,13.1536,-12.4199
5,housewares,6964,10.8678,-12.3002
6,watches_gifts,5991,12.5885,-11.9204
7,telephony,4545,12.7966,-11.3826
8,garden_tools,4347,13.6617,-11.9759
9,auto,4235,12.1554,-11.4371
10,toys,4117,11.633,-12.1032
11,cool_stuff,3796,12.3101,-12.4925
12,perfumery,3419,11.6993,-12.43
13,baby,3065,12.4514,-11.6465
14,electronics,2767,12.8087,-11.14
15,stationery,2517,12.6715,-12.0389
16,fashion_bags_accessories,2031,11.0358,-13.3434
17,pet_shop,1947,11.1653,-12.5364
18,office_furniture,1691,20.7866,-11.8459
19,consoles_games,1137,13.5354,-11.6795
20,luggage_accessories,1092,10.6175,-12.6193
21,construction_tools_construction,929,10.6419,-11.6212
22,home_appliances,771,11.2215,-12.6525
23,musical_instruments,680,12.9293,-11.4839
24,small_appliances,679,10.7371,-13.8769
25,home_construction,604,13.1527,-11.557
26,books_general_interest,553,11.5485,-12.153
27,food,510,9.497,-9.8677
28,furniture_living_room,503,13.7758,-11.8
29,home_confort,434,13.4615,-9.8112
30,drinks,379,10.3435,-11.5291
31,audio,364,13.268,-10.1492
32,market_place,311,12.1246,-14.623
33,construction_tools_lights,304,9.6711,-11.2226
34,air_conditioning,297,12.1938,-14.1696
35,kitchen_dining_laundry_garden_furniture,281,11.7956,-12.4307
36,food_drink,278,10.8067,-11.6134
37,industry_commerce_and_business,268,10.6515,-12.5455
38,books_technical,267,10.5779,-11.308
39,fixed_telephony,264,12.6745,-14.7176
40,fashion_shoes,262,15.3969,-14.8327
41,costruction_tools_garden,238,11.8448,-13.5431
42,home_appliances_2,238,13.8615,-12.4545
43,agro_industry_and_commerce,212,11.5825,-11.4612
44,art,209,11.3046,-12.7766
45,computers,203,13.4372,-11.5779
46,signaling_and_security,199,10.4315,-12.7056
47,construction_tools_safety,194,11.8579,-12.388
48,christmas_supplies,153,15.6733,-12.0533
49,fashion_male_clothing,132,12.896,-12.712
50,fashion_underwear_beach,131,13.6063,-10.9291
51,furniture_bedroom,109,13.1748,-13.5146
52,costruction_tools_tools,103,12.068,-12.2039
53,tablets_printing_image,83,12.9639,-12.7711
54,small_appliances_home_oven_and_coffee,76,9.7945,-11.589
55,cine_photo,72,10.5,-11.3286
56,dvds_blu_ray,64,12.8525,-13.3607
57,books_imported,60,7.9649,-11.193
58,fashio_female_clothing,48,11.9778,-11.2889
59,party_supplies,43,9.1429,-15.119
60,diapers_and_hygiene,39,10.6486,-11.3514
61,furniture_mattress_and_upholstery,38,14.4054,-7.1622
62,music,38,11.5526,-14.3421
63,flowers,33,11.1212,-12.3333
64,home_comfort_2,30,14.5333,-8.4333
65,fashion_sport,30,11.7931,-12.3793
66,arts_and_craftmanship,24,5.6667,-6.7917
67,la_cuisine,14,7.6429,-16.3571
68,cds_dvds_musicals,14,10.5714,-16.8571
69,fashion_childrens_clothes,8,8.8571,-15.7143
70,security_and_services,2,15.0,-17.0
